r_def,t_loc_tri,ent,n_hog,sex,eda,cs_p12,cs_p13_1,e_con,ur,clase1,rama,ing7c,alta_educacion_ingreso_missing,pre_asa,tip_con_2,anios_esc,hrsocup,ing_x_hrs,mh_col
0,1,9,1,1,57,1,3,5,1,1,2,2,0,1,contrato,9,55,45.45455,0
0,1,9,1,1,16,1,2,6,1,1,3,1,0,0,No_aplica,6,36,0,1
0,1,9,1,1,42,1,3,1,1,1,4,2,0,2,sin_contrato,9,60,33.33333,1
0,1,9,1,1,39,1,4,1,1,1,4,1,0,1,contrato,12,60,27.13178,0
0,1,9,1,1,29,1,9,6,1,1,4,1,0,2,sin_contrato,20,63,0,0
0,1,9,1,1,76,1,7,4,1,1,4,7,1,1,contrato,16,0,0,0
0,1,9,1,1,53,1,3,5,1,1,4,2,0,1,contrato,9,35,79.73422,0
0,1,9,1,1,31,1,4,5,1,1,1,3,0,2,contrato,12,72,0,1
0,1,15,1,2,49,1,7,5,1,1,4,6,0,0,No_aplica,15,30,0,1
0,1,15,1,1,42,1,4,5,1,1,4,2,0,1,contrato,12,54,0,0
0,1,15,1,1,36,1,4,6,1,1,2,7,0,1,contrato,12,48,0,0
0,1,15,1,2,60,1,2,4,1,1,3,7,0,0,No_aplica,6,20,0,1
0,1,15,1,2,42,1,3,6,1,1,2,2,0,2,sin_contrato,9,69,30.43478,1
0,1,15,1,2,36,1,7,2,1,1,4,2,0,1,contrato,14,60,30.23256,0
0,1,15,1,1,53,1,3,1,1,1,2,1,0,0,No_aplica,9,20,0,1
0,1,15,1,1,39,1,3,5,1,1,2,1,0,1,contrato,9,54,25.83979,0
0,1,15,1,2,51,1,3,5,1,1,2,2,0,1,contrato,9,51,36.47971,0
0,1,15,1,1,20,1,3,6,1,1,1,1,0,1,contrato,9,50,27.90698,0
0,1,15,1,2,33,1,7,5,1,1,3,2,0,0,No_aplica,16,50,56,1
0,1,15,1,1,45,1,4,6,1,1,2,7,0,1,contrato,12,50,0,0
